Nama_Produk,Akun,Ulasan,Rate,normalized_Ulasan,cleaned_Ulasan,tokenized_Ulasan,stemmed_Ulasan,final_Ulasan,Sentiment
Oppo A60,Yunus,"seller response oke, pengiriman oke dan barang bagus",5.0,"seller response oke, pengiriman oke dan barang bagus",seller response oke pengiriman oke dan barang bagus,"['seller', 'response', 'oke', 'pengiriman', 'oke', 'dan', 'barang', 'bagus']","['seller', 'response', 'oke', 'kirim', 'oke', 'dan', 'barang', 'bagus']","['seller', 'response', 'kirim', 'barang', 'bagus']",Positif
Oppo A60,ahmi,mantul barangnya sesuai deskripsi,5.0,mantap betul barangnya sesuai deskripsi,mantap betul barangnya sesuai deskripsi,"['mantap', 'betul', 'barangnya', 'sesuai', 'deskripsi']","['mantap', 'betul', 'barang', 'sesuai', 'deskripsi']","['mantap', 'barang', 'sesuai', 'deskripsi']",Positif
Oppo A60,yayan,"jgn diragukan lagi belanja di toko ini. pokoknya top markotop, thanks boz, sukses selalu",5.0,"jangan diragukan lagi belanja di toko ini. pokoknya top markotop, thanks Boz, sukses selalu",jangan diragukan lagi belanja di toko ini pokoknya top markotop thanks boz sukses selalu,"['jangan', 'diragukan', 'lagi', 'belanja', 'di', 'toko', 'ini', 'pokoknya', 'top', 'markotop', 'thanks', 'boz', 'sukses', 'selalu']","['jangan', 'ragu', 'lagi', 'belanja', 'di', 'toko', 'ini', 'pokok', 'top', 'markotop', 'thanks', 'boz', 'sukses', 'selalu']","['ragu', 'belanja', 'toko', 'pokok', 'top', 'sukses']",Positif
Oppo A60,sisi,ori segel repack berfingsi packing aman respon n kirim cepat,5.0,original segel repack berfungsi packing aman respon n kirim cepat,original segel repack berfungsi packing aman respon n kirim cepat,"['original', 'segel', 'repack', 'berfungsi', 'packing', 'aman', 'respon', 'n', 'kirim', 'cepat']","['original', 'segel', 'repack', 'fungsi', 'packing', 'aman', 'respon', 'n', 'kirim', 'cepat']","['original', 'segel', 'fungsi', 'aman', 'respon', 'kirim', 'cepat']",Positif
Oppo A60,arief,alhamdulilah sesuai,5.0,Alhamdulilah sesuai,alhamdulilah sesuai,"['alhamdulilah', 'sesuai']","['alhamdulilah', 'sesuai']","['alhamdulilah', 'sesuai']",Positif
Oppo A60,july,barangnya original 👍 ada garansi resmi warna sesuai pesanan berfungsi dengan baik penjualnya ramah banget proses pesanan cepat packaging aman 🙏 packaging rapi respon penjualnya top rekomen bangett kalau mau cari hp beli di sinii ajaa👍🔥🔥😍,5.0,Barangnya original 👍 Ada garansi resmi Warna sesuai pesanan Berfungsi dengan baik Penjualnya ramah banget Proses pesanan cepat Packaging aman 🙏 Packaging rapi Respon penjualnya top rekomen bangett kalau mau cari hp beli di sinii ajaa👍🔥🔥😍,barangnya original  ada garansi resmi warna sesuai pesanan berfungsi dengan baik penjualnya ramah banget proses pesanan cepat packaging aman  packaging rapi respon penjualnya top rekomen bangett kalau mau cari hp beli di sinii ajaa,"['barangnya', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesanan', 'berfungsi', 'dengan', 'baik', 'penjualnya', 'ramah', 'banget', 'proses', 'pesanan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'penjualnya', 'top', 'rekomen', 'bangett', 'kalau', 'mau', 'cari', 'hp', 'beli', 'di', 'sinii', 'ajaa']","['barang', 'original', 'ada', 'garansi', 'resmi', 'warna', 'sesuai', 'pesan', 'fungsi', 'dengan', 'baik', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'jual', 'top', 'rekomen', 'bangett', 'kalau', 'mau', 'cari', 'hp', 'beli', 'di', 'sini', 'ajaa']","['barang', 'original', 'garansi', 'resmi', 'warna', 'sesuai', 'pesan', 'fungsi', 'jual', 'ramah', 'banget', 'proses', 'pesan', 'cepat', 'packaging', 'aman', 'packaging', 'rapi', 'respon', 'jual', 'top', 'rekomen', 'bangett', 'cari', 'hp', 'beli']",Positif
Oppo A60,yuyusa,"barangnya original 👍 plastik luar tersegel, tapi stiker hitam segel yg bagian samping kotaknya ko udah kebuka yah. emang kaya gitu apa ngak si? ada si video unboxingnya juga. tp pas di buka hp nya kumpit warna sesuai pesanan",5.0,"Barangnya original 👍 plastik luar tersegel, tapi stiker hitam segel yg bagian samping kotaknya ko udah kebuka yah. emang kaya gitu apa ngak si? ada si video unboxingnya juga. tapi pas di buka hp nya kumpit Warna sesuai pesanan",barangnya original  plastik luar tersegel tapi stiker hitam segel yg bagian samping kotaknya ko udah kebuka yah emang kaya gitu apa ngak si ada si video unboxingnya juga tapi pas di buka hp nya kumpit warna sesuai pesanan,"['barangnya', 'original', 'plastik', 'luar', 'tersegel', 'tapi', 'stiker', 'hitam', 'segel', 'yg', 'bagian', 'samping', 'kotaknya', 'ko', 'udah', 'kebuka', 'yah', 'emang', 'kaya', 'gitu', 'apa', 'ngak', 'si', 'ada', 'si', 'video', 'unboxingnya', 'juga', 'tapi', 'pas', 'di', 'buka', 'hp', 'nya', 'kumpit', 'warna', 'sesuai', 'pesanan']","['barang', 'original', 'plastik', 'luar', 'segel', 'tapi', 'stiker', 'hitam', 'segel', 'yg', 'bagi', 'samping', 'kotak', 'ko', 'udah', 'buka', 'yah', 'emang', 'kaya', 'gitu', 'apa', 'ngak', 'si', 'ada', 'si', 'video', 'unboxingnya', 'juga', 'tapi', 'pas', 'di', 'buka', 'hp', 'nya', 'kumpit', 'warna', 'sesuai', 'pesan']","['barang', 'original', 'plastik', 'segel', 'stiker', 'hitam', 'segel', 'samping', 'kotak', 'udah', 'buka', 'emang', 'kaya', 'gitu', 'video', 'unboxingnya', 'pas', 'buka', 'hp', 'warna', 'sesuai', 'pesan']",Positif
Oppo A60,gilang,barangnya sesuai dengan gambar pengiriman nya juga cepat pokoknya best banget dah,5.0,barangnya sesuai dengan gambar pengiriman nya juga cepat pokoknya best banget dah,barangnya sesuai dengan gambar pengiriman nya juga cepat pokoknya best banget dah,"['barangnya', 'sesuai', 'dengan', 'gambar', 'pengiriman', 'nya', 'juga', 'cepat', 'pokoknya', 'best', 'banget', 'dah']","['barang', 'sesuai', 'dengan', 'gambar', 'kirim', 'nya', 'juga', 'cepat', 'pokok', 'best', 'banget', 'dah']","['barang', 'sesuai', 'gambar', 'kirim', 'cepat', 'pokok', 'banget']",Positif
Oppo A60,untung,mantap...barang yg di pesan sesuai..terimakasih,5.0,mantap...barang yg di pesan sesuai..terimakasih,mantapbarang yg di pesan sesuaiterimakasih,"['mantapbarang', 'yg', 'di', 'pesan', 'sesuaiterimakasih']","['mantapbarang', 'yg', 'di', 'pesan', 'sesuaiterimakasih']","['mantapbarang', 'pesan', 'sesuaiterimakasih']",Positif
Oppo A60,Sarihati,pembelian ke-3,5.0,pembelian ke-3,pembelian ke,"['pembelian', 'ke']","['beli', 'ke']",['beli'],Positif
Oppo A60,AKW,"repack, dan tidak rapi repackage nya",5.0,"repack, dan tidak rapi repackage nya",repack dan tidak rapi repackage nya,"['repack', 'dan', 'tidak', 'rapi', 'repackage', 'nya']","['repack', 'dan', 'tidak', 'rapi', 'repackage', 'nya']","['rapi', 'repackage']",Positif
Oppo A60,ifal,"barang nya bagus, sesuai pesanan original",5.0,"barang nya bagus, sesuai pesanan original",barang nya bagus sesuai pesanan original,"['barang', 'nya', 'bagus', 'sesuai', 'pesanan', 'original']","['barang', 'nya', 'bagus', 'sesuai', 'pesan', 'original']","['barang', 'bagus', 'sesuai', 'pesan', 'original']",Positif
Oppo A60,Arrya,barang sesuai dengan pesanan terimakasih,5.0,barang sesuai dengan pesanan terima kasih,barang sesuai dengan pesanan terima kasih,"['barang', 'sesuai', 'dengan', 'pesanan', 'terima', 'kasih']","['barang', 'sesuai', 'dengan', 'pesan', 'terima', 'kasih']","['barang', 'sesuai', 'pesan', 'terima', 'kasih']",Positif
Oppo A60,meida,barang original dan semoga awet,5.0,Barang original dan semoga awet,barang original dan semoga awet,"['barang', 'original', 'dan', 'semoga', 'awet']","['barang', 'original', 'dan', 'moga', 'awet']","['barang', 'original', 'moga', 'awet']",Positif
Oppo A60,Alfi,sudah 2x transaksi di toko ini dan puas dengan hasilnya hp belum dicoba,5.0,Sudah 2x transaksi di toko ini dan puas dengan hasilnya Hp belum dicoba,sudah x transaksi di toko ini dan puas dengan hasilnya hp belum dicoba,"['sudah', 'x', 'transaksi', 'di', 'toko', 'ini', 'dan', 'puas', 'dengan', 'hasilnya', 'hp', 'belum', 'dicoba']","['sudah', 'x', 'transaksi', 'di', 'toko', 'ini', 'dan', 'puas', 'dengan', 'hasil', 'hp', 'belum', 'coba']","['transaksi', 'toko', 'puas', 'hasil', 'hp', 'coba']",Positif
Oppo A60,hani,barang bagus ori dan masih segel,5.0,barang bagus original dan masih segel,barang bagus original dan masih segel,"['barang', 'bagus', 'original', 'dan', 'masih', 'segel']","['barang', 'bagus', 'original', 'dan', 'masih', 'segel']","['barang', 'bagus', 'original', 'segel']",Positif
Oppo A60,afan,"𝐒𝐞𝐬𝐮𝐚𝐢 𝐝𝐞𝐬𝐤𝐫𝐢𝐩𝐬𝐢, 𝐛𝐚𝐫𝐚𝐧𝐠 𝐦𝐚𝐬𝐢𝐡 𝐬𝐞𝐠𝐞𝐥 𝐨𝐫𝐢 𝐣𝐮𝐠𝐚,& 𝐬𝐞𝐥𝐥𝐞𝐫 𝐫𝐚𝐦𝐚𝐡 𝐬𝐚𝐚𝐭 𝐝𝐢𝐭𝐚𝐧𝐲𝐚𝟐. 𝐏𝐞𝐧𝐠𝐢𝐫𝐢𝐦𝐚𝐧 𝟑'𝐡𝐚𝐫𝐢, 𝐏𝐚𝐜𝐤𝐢𝐧𝐠 𝐚𝐦𝐚𝐧 𝐤𝐫𝐞𝐧𝐚 𝐬𝐚𝐧𝐠𝐚𝐭 𝐭𝐞𝐛𝐚𝐥. 𝐋𝐚𝐢𝐧 𝐰𝐚𝐤𝐭𝐮 𝐛𝐢𝐬𝐚 𝐨𝐫𝐝𝐞𝐫 𝐝𝐢𝐬𝐢𝐧𝐢 𝐥𝐚𝐠𝐢, 𝐤𝐫𝐞𝐧𝐚 𝐛𝐧𝐲𝐚𝐤 𝐩𝐨𝐭𝐨𝐧𝐠𝐚𝐧 𝐡𝐚𝐫𝐠𝐚 𝐲𝐚𝐧𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐥𝐮𝐦𝐚𝐲𝐚𝐧. 𝐦𝐚𝐤𝐚𝐬𝐢𝐡 𝐬𝐞𝐥𝐥𝐞𝐫&𝐓𝐨𝐤𝐨𝐩𝐞𝐝𝐢𝐚, 𝐁𝐞𝐫𝐤𝐚𝐡 𝐬𝐞𝐥𝐚𝐥𝐮...",5.0,"𝐒𝐞𝐬𝐮𝐚𝐢 𝐝𝐞𝐬𝐤𝐫𝐢𝐩𝐬𝐢, 𝐛𝐚𝐫𝐚𝐧𝐠 𝐦𝐚𝐬𝐢𝐡 𝐬𝐞𝐠𝐞𝐥 𝐨𝐫𝐢 𝐣𝐮𝐠𝐚,& 𝐬𝐞𝐥𝐥𝐞𝐫 𝐫𝐚𝐦𝐚𝐡 𝐬𝐚𝐚𝐭 𝐝𝐢𝐭𝐚𝐧𝐲𝐚𝟐. 𝐏𝐞𝐧𝐠𝐢𝐫𝐢𝐦𝐚𝐧 𝟑'𝐡𝐚𝐫𝐢, 𝐏𝐚𝐜𝐤𝐢𝐧𝐠 𝐚𝐦𝐚𝐧 𝐤𝐫𝐞𝐧𝐚 𝐬𝐚𝐧𝐠𝐚𝐭 𝐭𝐞𝐛𝐚𝐥. 𝐋𝐚𝐢𝐧 𝐰𝐚𝐤𝐭𝐮 𝐛𝐢𝐬𝐚 𝐨𝐫𝐝𝐞𝐫 𝐝𝐢𝐬𝐢𝐧𝐢 𝐥𝐚𝐠𝐢, 𝐤𝐫𝐞𝐧𝐚 𝐛𝐧𝐲𝐚𝐤 𝐩𝐨𝐭𝐨𝐧𝐠𝐚𝐧 𝐡𝐚𝐫𝐠𝐚 𝐲𝐚𝐧𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐥𝐮𝐦𝐚𝐲𝐚𝐧. 𝐦𝐚𝐤𝐚𝐬𝐢𝐡 𝐬𝐞𝐥𝐥𝐞𝐫&𝐓𝐨𝐤𝐨𝐩𝐞𝐝𝐢𝐚, 𝐁𝐞𝐫𝐤𝐚𝐡 𝐬𝐞𝐥𝐚𝐥𝐮...",𝐒𝐞𝐬𝐮𝐚𝐢 𝐝𝐞𝐬𝐤𝐫𝐢𝐩𝐬𝐢 𝐛𝐚𝐫𝐚𝐧𝐠 𝐦𝐚𝐬𝐢𝐡 𝐬𝐞𝐠𝐞𝐥 𝐨𝐫𝐢 𝐣𝐮𝐠𝐚 𝐬𝐞𝐥𝐥𝐞𝐫 𝐫𝐚𝐦𝐚𝐡 𝐬𝐚𝐚𝐭 𝐝𝐢𝐭𝐚𝐧𝐲𝐚 𝐏𝐞𝐧𝐠𝐢𝐫𝐢𝐦𝐚𝐧 𝐡𝐚𝐫𝐢 𝐏𝐚𝐜𝐤𝐢𝐧𝐠 𝐚𝐦𝐚𝐧 𝐤𝐫𝐞𝐧𝐚 𝐬𝐚𝐧𝐠𝐚𝐭 𝐭𝐞𝐛𝐚𝐥 𝐋𝐚𝐢𝐧 𝐰𝐚𝐤𝐭𝐮 𝐛𝐢𝐬𝐚 𝐨𝐫𝐝𝐞𝐫 𝐝𝐢𝐬𝐢𝐧𝐢 𝐥𝐚𝐠𝐢 𝐤𝐫𝐞𝐧𝐚 𝐛𝐧𝐲𝐚𝐤 𝐩𝐨𝐭𝐨𝐧𝐠𝐚𝐧 𝐡𝐚𝐫𝐠𝐚 𝐲𝐚𝐧𝐠 𝐬𝐚𝐧𝐠𝐚𝐭 𝐥𝐮𝐦𝐚𝐲𝐚𝐧 𝐦𝐚𝐤𝐚𝐬𝐢𝐡 𝐬𝐞𝐥𝐥𝐞𝐫𝐓𝐨𝐤𝐨𝐩𝐞𝐝𝐢𝐚 𝐁𝐞𝐫𝐤𝐚𝐡 𝐬𝐞𝐥𝐚𝐥𝐮,"['𝐒𝐞𝐬𝐮𝐚𝐢', '𝐝𝐞𝐬𝐤𝐫𝐢𝐩𝐬𝐢', '𝐛𝐚𝐫𝐚𝐧𝐠', '𝐦𝐚𝐬𝐢𝐡', '𝐬𝐞𝐠𝐞𝐥', '𝐨𝐫𝐢', '𝐣𝐮𝐠𝐚', '𝐬𝐞𝐥𝐥𝐞𝐫', '𝐫𝐚𝐦𝐚𝐡', '𝐬𝐚𝐚𝐭', '𝐝𝐢𝐭𝐚𝐧𝐲𝐚', '𝐏𝐞𝐧𝐠𝐢𝐫𝐢𝐦𝐚𝐧', '𝐡𝐚𝐫𝐢', '𝐏𝐚𝐜𝐤𝐢𝐧𝐠', '𝐚𝐦𝐚𝐧', '𝐤𝐫𝐞𝐧𝐚', '𝐬𝐚𝐧𝐠𝐚𝐭', '𝐭𝐞𝐛𝐚𝐥', '𝐋𝐚𝐢𝐧', '𝐰𝐚𝐤𝐭𝐮', '𝐛𝐢𝐬𝐚', '𝐨𝐫𝐝𝐞𝐫', '𝐝𝐢𝐬𝐢𝐧𝐢', '𝐥𝐚𝐠𝐢', '𝐤𝐫𝐞𝐧𝐚', '𝐛𝐧𝐲𝐚𝐤', '𝐩𝐨𝐭𝐨𝐧𝐠𝐚𝐧', '𝐡𝐚𝐫𝐠𝐚', '𝐲𝐚𝐧𝐠', '𝐬𝐚𝐧𝐠𝐚𝐭', '𝐥𝐮𝐦𝐚𝐲𝐚𝐧', '𝐦𝐚𝐤𝐚𝐬𝐢𝐡', '𝐬𝐞𝐥𝐥𝐞𝐫𝐓𝐨𝐤𝐨𝐩𝐞𝐝𝐢𝐚', '𝐁𝐞𝐫𝐤𝐚𝐡', '𝐬𝐞𝐥𝐚𝐥𝐮']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Positif
Oppo A60,Beni,"kartu garansinya sudah diambil ketika diterima dan segel sudah dibuka, isi paket lengkap, hp dalam kondisi pabrik. semoga awet",5.0,"Kartu garansinya sudah diambil ketika diterima dan segel sudah dibuka, isi paket lengkap, hp dalam kondisi pabrik. semoga awet",kartu garansinya sudah diambil ketika diterima dan segel sudah dibuka isi paket lengkap hp dalam kondisi pabrik semoga awet,"['kartu', 'garansinya', 'sudah', 'diambil', 'ketika', 'diterima', 'dan', 'segel', 'sudah', 'dibuka', 'isi', 'paket', 'lengkap', 'hp', 'dalam', 'kondisi', 'pabrik', 'semoga', 'awet']","['kartu', 'garansi', 'sudah', 'ambil', 'ketika', 'terima', 'dan', 'segel', 'sudah', 'buka', 'isi', 'paket', 'lengkap', 'hp', 'dalam', 'kondisi', 'pabrik', 'moga', 'awet']","['kartu', 'garansi', 'ambil', 'terima', 'segel', 'buka', 'isi', 'paket', 'lengkap', 'hp', 'kondisi', 'pabrik', 'moga', 'awet']",Positif
Oppo A60,ade,"mantap, pngiriman mantap",5.0,"mantap, pngiriman mantap",mantap pngiriman mantap,"['mantap', 'pngiriman', 'mantap']","['mantap', 'pngiriman', 'mantap']","['mantap', 'pngiriman', 'mantap']",Positif
Oppo A60,mohammad,"barang bagus dan sesuai, pengiriman cepat",5.0,"barang bagus dan sesuai, pengiriman cepat",barang bagus dan sesuai pengiriman cepat,"['barang', 'bagus', 'dan', 'sesuai', 'pengiriman', 'cepat']","['barang', 'bagus', 'dan', 'sesuai', 'kirim', 'cepat']","['barang', 'bagus', 'sesuai', 'kirim', 'cepat']",Positif
Oppo A60,susylowati,barang masih disegel...original berfungsi dengan baik,5.0,barang masih disegel...original berfungsi dengan baik,barang masih disegeloriginal berfungsi dengan baik,"['barang', 'masih', 'disegeloriginal', 'berfungsi', 'dengan', 'baik']","['barang', 'masih', 'disegeloriginal', 'fungsi', 'dengan', 'baik']","['barang', 'disegeloriginal', 'fungsi']",Positif
Oppo A60,Aria,bagus,5.0,bagus,bagus,['bagus'],['bagus'],['bagus'],Positif
Oppo A60,Sumarno,"barang telah diterima dengan baik. spec mantab, terima kasih.",5.0,"Barang telah diterima dengan baik. Spec mantab, terima kasih.",barang telah diterima dengan baik spec mantab terima kasih,"['barang', 'telah', 'diterima', 'dengan', 'baik', 'spec', 'mantab', 'terima', 'kasih']","['barang', 'telah', 'terima', 'dengan', 'baik', 'spec', 'mantab', 'terima', 'kasih']","['barang', 'terima', 'spec', 'mantab', 'terima', 'kasih']",Positif
Oppo A60,S***I,barang bagus masih segel dan garansi resmi,5.0,barang bagus masih segel dan garansi resmi,barang bagus masih segel dan garansi resmi,"['barang', 'bagus', 'masih', 'segel', 'dan', 'garansi', 'resmi']","['barang', 'bagus', 'masih', 'segel', 'dan', 'garansi', 'resmi']","['barang', 'bagus', 'segel', 'garansi', 'resmi']",Positif
Oppo A60,R***i,mantap seller jg ramah dan responya cepet,5.0,mantap seller juga ramah dan responnya cepet,mantap seller juga ramah dan responnya cepet,"['mantap', 'seller', 'juga', 'ramah', 'dan', 'responnya', 'cepet']","['mantap', 'seller', 'juga', 'ramah', 'dan', 'responnya', 'cepet']","['mantap', 'seller', 'ramah', 'responnya', 'cepet']",Positif
Oppo A60,eka,barang sesuai,5.0,barang sesuai,barang sesuai,"['barang', 'sesuai']","['barang', 'sesuai']","['barang', 'sesuai']",Positif
Oppo A60,Radhitya,barang bagus paking bagus pengiriman cepat..👍👍,5.0,barang bagus paking bagus pengiriman cepat..👍👍,barang bagus paking bagus pengiriman cepat,"['barang', 'bagus', 'paking', 'bagus', 'pengiriman', 'cepat']","['barang', 'bagus', 'paking', 'bagus', 'kirim', 'cepat']","['barang', 'bagus', 'paking', 'bagus', 'kirim', 'cepat']",Positif
Oppo A60,Fadzar,"mantap, terima kasih.. packing juga oke banget.. 👍",5.0,"Mantap, terima kasih.. Packing juga oke banget.. 👍",mantap terima kasih packing juga oke banget ,"['mantap', 'terima', 'kasih', 'packing', 'juga', 'oke', 'banget']","['mantap', 'terima', 'kasih', 'packing', 'juga', 'oke', 'banget']","['mantap', 'terima', 'kasih', 'banget']",Positif
Oppo A60,Hadi,mantaaapp.... original. sesue deskripsi. dus masih segel. ada garansi resmi. berfungsi dgn normal. packing aman. fast respon & fast delivery 👍👍,5.0,Mantaaapp.... Original. Sesue deskripsi. Dus masih segel. Ada garansi resmi. Berfungsi dengan normal. Packing aman. Fast respon & Fast Delivery 👍👍,mantaaapp original sesue deskripsi dus masih segel ada garansi resmi berfungsi dengan normal packing aman fast respon  fast delivery ,"['mantaaapp', 'original', 'sesue', 'deskripsi', 'dus', 'masih', 'segel', 'ada', 'garansi', 'resmi', 'berfungsi', 'dengan', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']","['mantaaapp', 'original', 'sesue', 'deskripsi', 'dus', 'masih', 'segel', 'ada', 'garansi', 'resmi', 'fungsi', 'dengan', 'normal', 'packing', 'aman', 'fast', 'respon', 'fast', 'delivery']","['mantaaapp', 'original', 'sesue', 'deskripsi', 'dus', 'segel', 'garansi', 'resmi', 'fungsi', 'normal', 'aman', 'fast', 'respon', 'fast']",Positif
Oppo A60,A***h,mantab... semoga awet...,5.0,mantab... semoga awet...,mantab semoga awet,"['mantab', 'semoga', 'awet']","['mantab', 'moga', 'awet']","['mantab', 'moga', 'awet']",Positif
Oppo A60,Dwi,alhamdulillah sudah sampai dengan selamat dan semoga amanah. .terimakasih seller,5.0,alhamdulillah sudah sampai dengan selamat dan semoga amanah. .terimakasih seller,alhamdulillah sudah sampai dengan selamat dan semoga amanah terimakasih seller,"['alhamdulillah', 'sudah', 'sampai', 'dengan', 'selamat', 'dan', 'semoga', 'amanah', 'terimakasih', 'seller']","['alhamdulillah', 'sudah', 'sampai', 'dengan', 'selamat', 'dan', 'moga', 'amanah', 'terimakasih', 'seller']","['alhamdulillah', 'selamat', 'moga', 'amanah', 'terimakasih', 'seller']",Positif
Oppo A60,S***a,mantapppppp.... fast respon fast delivery original... dan safety packing 😁😁😁,5.0,Mantapppppp.... Fast Respon Fast Delivery Original... dan Safety Packing 😁😁😁,mantapppppp fast respon fast delivery original dan safety packing ,"['mantapppppp', 'fast', 'respon', 'fast', 'delivery', 'original', 'dan', 'safety', 'packing']","['mantapppppp', 'fast', 'respon', 'fast', 'delivery', 'original', 'dan', 'safety', 'packing']","['mantapppppp', 'fast', 'respon', 'fast', 'original', 'safety']",Positif
Oppo A60,Maximus,barang mantap dan ori segel. pelayanan cepat.,5.0,Barang mantap dan original segel. Pelayanan cepat.,barang mantap dan original segel pelayanan cepat,"['barang', 'mantap', 'dan', 'original', 'segel', 'pelayanan', 'cepat']","['barang', 'mantap', 'dan', 'original', 'segel', 'layan', 'cepat']","['barang', 'mantap', 'original', 'segel', 'layan', 'cepat']",Positif
